word,level_index,level
CONTRACT,7,academic
CONTRADICT,7,academic
CONTRARY,7,academic
CONTRAST,7,academic
CONTRIBUTE,7,academic
CONTROL,6,5
CONTROVERSY,7,academic
CONVENE,7,academic
CONVERSE,7,academic
CONVERT,7,academic
CONVINCE,7,academic
COOK,4,3
COOL,5,4
COOPERATE,7,academic
COORDINATE,7,academic
COPY,5,4
CORE,7,academic
CORN,1,k
CORNER,4,3
CORPORATE,7,academic
CORRECT,3,2
CORRESPOND,7,academic
COST,6,5
COTTON,6,5
COULD,2,1
COUNT,6,5
COUNTRY,2,1
COUPLE,7,academic
COURSE,5,4
COVERED,6,5
COW,1,k
COWS,6,5
CREATE,6,5
CREDIT,7,academic
CRIED,6,5
CRITERIA,7,academic
CROPS,4,3
CROSS,3,2
CROWD,5,4
CRUCIAL,7,academic
CULTURE,7,academic
CURRENCY,7,academic
CURRENT,6,5
CUT,4,3
CYCLE,7,academic
DANCE,3,2
DARK,6,5
DATA,7,academic
DAY,1,k
DEAD,6,5
DEAL,6,5
DEATH,6,5
DEBATE,7,academic
DECADE,7,academic
DECIDED,5,4
DECIMAL,5,4
DECLINE,7,academic
DEDUCE,7,academic
DEEP,6,5
DEFINE,7,academic
DEFINITE,7,academic
DEMONSTRATE,7,academic
DENOTE,7,academic
DENY,7,academic
DEPRESS,7,academic
DERIVE,7,academic
DESCRIBE,6,5
DESERT,6,5
DESIGN,4,3
DESPITE,7,academic
DETAILS,6,5
DETECT,7,academic
DETERMINE,6,5
DEVELOPED,5,4
DEVIATE,7,academic
DEVICE,7,academic
DEVOTE,7,academic
DICTIONARY,5,4
DID,1,k
DIED,6,5
DIFFERENCE,5,4
DIFFERENT,6,5
DIFFERENTIATE,7,academic
DIFFICULT,6,5
DIMENSION,7,academic
DIMINISH,7,academic
DIRECT,6,5
DIRECTION,3,2
DISCOVERED,6,5
DISCRETE,7,academic
DISCRIMINATE,7,academic
DISPLACE,7,academic
DISPLAY,7,academic
DISPOSE,7,academic
DISTANCE,5,4
DISTINCT,7,academic
DISTORT,7,academic
DISTRIBUTE,7,academic
DIVERSE,7,academic
DIVIDED,3,2
DIVISION,6,5
DO,1,k
DOCTOR,4,3
DOCUMENT,7,academic
DOES,3,2
DOG,1,k
DOLL,1,k
DOLLARS,6,5
DOMAIN,7,academic
DOMESTIC,7,academic
DOMINATE,7,academic
DONE,3,2
DOOR,1,k
DOWN,0,prek
DRAFT,7,academic
DRAMA,7,academic
DRAW,4,3
DRAWING,5,4
DRESS,6,5
DRINK,4,3
DRIVE,6,5
DROP,5,4
DRY,6,5
DUCK,1,k
DURATION,7,academic
DURING,5,4
DYNAMIC,7,academic
EACH,4,3
EARLY,5,4
EARS,4,3
EARTH,2,1
EAST,5,4
EASY,3,2
EAT,1,k
ECONOMY,7,academic
EDGE,6,5
EDIT,7,academic
EFFECT,6,5
EGG,1,k
EGGS,5,4
EIGHT,4,3
EITHER,3,2
ELECTRIC,4,3
ELEMENT,7,academic
ELEMENTS,5,4
ELIMINATE,7,academic
ELSE,3,2
EMERGE,7,academic
EMPHASIS,7,academic
EMPIRICAL,7,academic
ENABLE,7,academic
ENCOUNTER,7,academic
END,6,5
ENERGY,3,2
ENFORCE,7,academic
ENGINE,5,4
ENGLAND,4,3
ENGLISH,3,2
ENHANCE,7,academic
ENJOY,5,4
ENORMOUS,7,academic
ENOUGH,6,5
ENSURE,7,academic
ENTERED,6,5
ENTIRE,6,5
ENTITY,7,academic
ENVIRONMENT,7,academic
EQUAL,5,4
EQUATE,7,academic
EQUATION,6,5
EQUIP,7,academic
EQUIVALENT,7,academic
ERODE,7,academic
ERROR,7,academic
ESPECIALLY,6,5
ESTABLISH,7,academic
ESTATE,7,academic
ESTIMATE,7,academic
ETHIC,7,academic
ETHNIC,7,academic
EUROPE,3,2
EVALUATE,7,academic
EVEN,6,5
EVENING,6,5
EVENTUAL,7,academic
EVER,2,1
EVERY,2,1
EVERYONE,5,4
EVERYTHING,3,2
EVIDENT,7,academic
EVOLVE,7,academic
EXACTLY,6,5
EXAMPLE,5,4
EXCEED,7,academic
EXCEPT,5,4
EXCITING,6,5
EXCLUDE,7,academic
EXERCISE,5,4
EXHIBIT,7,academic
EXPAND,7,academic
EXPECT,5,4
EXPERIENCE,6,5
EXPERIMENT,5,4
EXPERT,7,academic
EXPLAIN,6,5
EXPLICIT,7,academic
EXPLOIT,7,academic
EXPORT,7,academic
EXPOSE,7,academic
EXPRESS,5,4
EXTERNAL,7,academic
EXTRACT,7,academic
EYE,1,k
EYES,2,1
FACE,6,5
FACILITATE,7,academic
FACT,3,2
FACTOR,7,academic
FACTORIES,4,3
FACTORS,3,2
FAIR,4,3
FALL,4,3
FAMILY,6,5
FAMOUS,5,4
FAR,4,3
FARM,1,k
FARMER,1,k
FARMERS,3,2
FAST,3,2
FATHER,1,k
FEAR,6,5
FEATURE,7,academic
FEDERAL,7,academic
FEE,7,academic
FEEL,3,2
FEELING,6,5
FEET,1,k
FELL,6,5
FELT,3,2
FEW,5,4
FIELD,6,5
FIG,6,5
FIGHT,6,5
FIGURE,6,5
FILE,7,academic
FILLED,6,5
FINAL,7,academic
FINALLY,3,2
FINANCE,7,academic
FIND,0,prek
FINE,6,5
FINGERS,6,5
FINISHED,6,5
FINITE,7,academic
FIRE,1,k
FIRST,3,2
FISH,1,k
FIT,4,3
FIVE,3,2
FLAT,5,4
FLEXIBLE,7,academic
FLOOR,1,k
FLOW,6,5
FLOWER,1,k
FLOWERS,6,5
FLUCTUATE,7,academic
FLY,2,1
FOCUS,7,academic
FOLLOW,5,4
FOOD,2,1
FOOT,4,3
FOR,0,prek
FORCE,6,5
FOREST,5,4
FORM,5,4
FORMAT,7,academic
FORMULA,7,academic
FORTHCOMING,7,academic
FORWARD,6,5
FOUND,3,2
FOUNDATION,7,academic
FOUR,1,k
FRACTION,6,5
FRAMEWORK,7,academic
FRANCE,4,3
FREE,5,4
FRENCH,6,5
FRESH,6,5
FRIENDS,3,2
FROM,1,k
FRONT,3,2
FRUIT,6,5
FULL,4,3
FUN,6,5
FUNCTION,7,academic
FUND,7,academic
FUNDAMENTAL,7,academic
FUNNY,0,prek
FURTHERMORE,7,academic
GAME,1,k
GARDEN,1,k
GAS,3,2
GAVE,3,2
GENDER,7,academic
GENERAL,3,2
GENERATE,7,academic
GENERATION,7,academic
GET,1,k
GIRL,1,k
GIVE,1,k
GLASS,4,3
GLOBE,7,academic
GO,0,prek
GOAL,7,academic
GOD,6,5
GOES,3,2
GOING,2,1
GOLD,6,5
GONE,6,5
GOOD,1,k
GOODBYE,1,k
GOT,4,3
GOVERNMENT,6,5
GRADE,7,academic
GRANT,7,academic
GRASS,1,k
GREAT,4,3
GREEK,6,5
GREEN,3,2
GREW,4,3
GROUND,1,k
GROUP,5,4
GROW,4,3
GUARANTEE,7,academic
GUESS,5,4
GUIDELINE,7,academic
GUN,6,5
HAD,2,1
HAIR,6,5
HALF,3,2
HAND,1,k
HAPPENED,5,4
HAPPY,6,5
HARD,5,4
HAS,2,1
HAT,6,5
HAVE,1,k
HE,1,k
HEAD,1,k
HEAR,6,5
HEARD,3,2
HEART,5,4
HEAT,6,5
HEAVY,6,5
HELD,6,5
HELP,0,prek
HENCE,7,academic
HER,2,1
HERE,0,prek
HIERARCHY,7,academic
HIGH,2,1
HIGHLIGHT,7,academic
HILL,1,k
HIM,2,1
HIMSELF,6,5
HIS,1,k
HISTORY,6,5
HIT,4,3
HOE,6,5
HOLD,4,3
HOLE,6,5
HOME,1,k
HOPE,5,4
HORSE,1,k
HOT,4,3
HOURS,5,4
HOUSE,1,k
HOW,2,1
HOWEVER,5,4
HUGE,6,5
HUMAN,6,5
HUNDRED,6,5
HUNTING,6,5
HURT,4,3
HYPOTHESIS,7,academic
ICE,3,2
IDEA,6,5
IDENTICAL,7,academic
IDENTIFY,7,academic
IDEOLOGY,7,academic
IF,4,3
IGNORANT,7,academic
ILLUSTRATE,7,academic
IMAGE,7,academic
IMMIGRATE,7,academic
IMPACT,7,academic
IMPLEMENT,7,academic
IMPLICATE,7,academic
IMPLICIT,7,academic
IMPLY,7,academic
IMPORTANT,6,5
IMPOSE,7,academic
IN,0,prek
INCENTIVE,7,academic
INCHES,3,2
INCIDENCE,7,academic
INCLINE,7,academic
INCLUDE,6,5
INCOME,7,academic
INCORPORATE,7,academic
INCREASE,6,5
INDEX,7,academic
INDIAN,6,5
INDICATE,5,4
INDIVIDUAL,7,academic
INDUCE,7,academic
INDUSTRY,6,5
INEVITABLE,7,academic
INFER,7,academic
INFORMATION,5,4
INFRASTRUCTURE,7,academic
INHERENT,7,academic
INHIBIT,7,academic
INITIAL,7,academic
INITIATE,7,academic
INJURE,7,academic
INNOVATE,7,academic
INPUT,7,academic
INSECTS,4,3
INSERT,7,academic
INSIDE,5,4
INSIGHT,7,academic
INSPECT,7,academic
INSTANCE,7,academic
INSTEAD,5,4
INSTITUTE,7,academic
INSTRUCT,7,academic
INSTRUMENTS,6,5
INTEGRAL,7,academic
INTEGRATE,7,academic
INTEGRITY,7,academic
INTELLIGENT,7,academic
INTENSE,7,academic
INTERACT,7,academic
INTEREST,6,5
INTERESTING,5,4
INTERMEDIATE,7,academic
INTERNAL,7,academic
INTERPRET,7,academic
INTERVAL,7,academic
INTERVENE,7,academic
INTO,1,k
INTRINSIC,7,academic
INVEST,7,academic
INVESTIGATE,7,academic
INVOKE,7,academic
INVOLVE,7,academic
IRON,5,4
IS,0,prek
ISLAND,5,4
ISOLATE,7,academic
ISSUE,7,academic
IT,0,prek
ITEM,7,academic
ITS,3,2
ITSELF,3,2
JAPANESE,6,5
JOB,6,5
JOINED,4,3
JOURNAL,7,academic
JUMP,0,prek
JUMPED,3,2
JUST,1,k
JUSTIFY,7,academic
KEEP,2,1
KEPT,6,5
KEY,4,3
KILLED,6,5
KIND,4,3
KING,6,5
KITTY,1,k
KNEW,2,1
KNOW,1,k
KNOWN,5,4
LABEL,7,academic
LABOUR,7,academic
LADY,6,5
LAKE,5,4
LAND,6,5
LANGUAGE,6,5
LARGE,6,5
LAST,2,1
LATE,6,5
LAUGH,4,3
LAUGHED,5,4
LAW,4,3
LAY,6,5
LAYER,7,academic
LEAD,5,4
LEARN,6,5
LEAST,3,2
LEAVE,6,5
LECTURE,7,academic
LED,6,5
LEFT,5,4
LEG,1,k
LEGAL,7,academic
LEGISLATE,7,academic
LEGS,6,5
LENGTH,6,5
LESS,5,4
LET,2,1
LETTER,1,k
LEVEL,4,3
LEVY,7,academic
LIBERAL,7,academic
LICENCE,7,academic
LIE,6,5
LIFE,5,4
LIFTED,6,5
LIGHT,2,1
LIKE,1,k
LIKEWISE,7,academic
LINE,5,4
LINK,7,academic
LIST,6,5
LISTEN,6,5
LITTLE,0,prek
LIVE,1,k
LOCATE,7,academic
LOCATED,6,5
LOGIC,7,academic
LONG,4,3
LOOK,0,prek
