word,level_index,level
SUSTAIN,7,academic
SWIM,6,5
SYLLABLES,3,2
SYMBOL,7,academic
SYMBOLS,5,4
SYSTEM,6,5
TABLE,1,k
TAKE,1,k
TALK,6,5
TALL,3,2
TAPE,7,academic
TARGET,7,academic
TASK,7,academic
TEACHER,6,5
TEAM,6,5
TECHNICAL,7,academic
TECHNIQUE,7,academic
TECHNOLOGY,7,academic
TELL,3,2
TEMPERATURE,5,4
TEMPORARY,7,academic
TEN,3,2
TENSE,7,academic
TERMINATE,7,academic
TERMS,6,5
TEST,3,2
TEXT,7,academic
THAN,6,5
THANK,2,1
THAT,1,k
THE,0,prek
THEIR,3,2
THEM,2,1
THEME,7,academic
THEMSELVES,5,4
THEN,2,1
THEORY,7,academic
THERE,1,k
THEREBY,7,academic
THESE,3,2
THESIS,7,academic
THEY,1,k
THICK,6,5
THIN,6,5
THING,1,k
THINGS,1,k
THINK,2,1
THIRD,6,5
THIS,1,k
THOSE,3,2
THOUGH,6,5
THOUGHT,2,1
THOUSANDS,6,5
THREE,0,prek
THROUGH,4,3
THUS,4,3
TIED,6,5
TIME,1,k
TINY,6,5
TO,0,prek
TODAY,4,3
TOGETHER,4,3
TOLD,3,2
TONE,4,3
TOO,1,k
TOOK,6,5
TOOLS,6,5
TOP,1,k
TOPIC,7,academic
TOTAL,6,5
TOUCH,5,4
TOWARD,6,5
TOWN,6,5
TOY,1,k
TRACE,7,academic
TRACK,6,5
TRADE,5,4
TRADITION,7,academic
TRAIN,5,4
TRANSFER,7,academic
TRANSFORM,7,academic
TRANSIT,7,academic
TRANSMIT,7,academic
TRANSPORT,7,academic
TRAVEL,6,5
TREE,1,k
TREND,7,academic
TRIANGLE,4,3
TRIGGER,7,academic
TRIP,6,5
TROUBLE,5,4
TRUCK,4,3
TRUE,6,5
TRY,4,3
TUBE,6,5
TURN,6,5
TWO,0,prek
TYPE,5,4
ULTIMATE,7,academic
UNCLE,6,5
UNDER,1,k
UNDERGO,7,academic
UNDERLIE,7,academic
UNDERLINE,6,5
UNDERSTAND,6,5
UNDERTAKE,7,academic
UNIFORM,7,academic
UNIFY,7,academic
UNIQUE,7,academic
UNIT,6,5
UNTIL,6,5
UP,0,prek
UPON,3,2
US,3,2
USE,3,2
USUALLY,3,2
UTILISE,7,academic
VALID,7,academic
VALLEY,4,3
VALUE,5,4
VARIOUS,6,5
VARY,7,academic
VEHICLE,7,academic
VERB,3,2
VERSION,7,academic
VERY,1,k
VIA,7,academic
VIEW,6,5
VILLAGE,3,2
VIOLATE,7,academic
VIRTUAL,7,academic
VISIBLE,7,academic
VISION,7,academic
VISIT,6,5
VISUAL,7,academic
VOICE,6,5
VOLUME,7,academic
VOLUNTARY,7,academic
VOWEL,6,5
WAIT,3,2
WALK,2,1
WALL,5,4
WANT,1,k
WAR,6,5
WARM,4,3
WAS,1,k
WASH,3,2
WASHINGTON,6,5
WATCH,1,k
WATER,1,k
WAVES,5,4
WAY,1,k
WE,0,prek
WEAR,5,4
WEATHER,6,5
WEEK,5,4
WEIGHT,6,5
WELFARE,7,academic
WELL,1,k
WENT,1,k
WERE,2,1
WEST,6,5
WESTERN,4,3
WHAT,1,k
WHEELS,5,4
WHEN,2,1
WHERE,0,prek
WHEREAS,7,academic
WHEREBY,7,academic
WHETHER,6,5
WHICH,3,2
WHILE,5,4
WHITE,1,k
WHO,1,k
WHOLE,5,4
WHOSE,6,5
WHY,3,2
WIDE,6,5
WIDESPREAD,7,academic
WIFE,6,5
WILD,6,5
WILL,1,k
WIN,6,5
WIND,1,k
WINDOW,1,k
WINGS,5,4
WINTER,6,5
WIRE,6,5
WISH,3,2
WITH,1,k
WITHIN,5,4
WITHOUT,6,5
WOMAN,6,5
WOMEN,6,5
WONDER,6,5
WOOD,1,k
WORDS,4,3
WORK,1,k
WORKERS,6,5
WORLD,6,5
WOULD,3,2
WRITE,3,2
WRITTEN,6,5
WRONG,6,5
WROTE,3,2
YARD,5,4
YEARS,1,k
YELLOW,0,prek
YES,1,k
YET,6,5
YOU,0,prek
YOUNG,6,5
YOUR,3,2
YOURSELF,6,5
